epoch,train loss,test loss
1,7.3637,7.3387
2,7.3287,7.2687
3,7.2598,7.1588
4,7.169,7.0355
5,7.0744,6.9084
6,6.9715,6.8
7,6.8977,6.7424
8,6.8475,6.7235
9,6.7998,6.6861
10,6.7585,6.6799
11,6.7232,6.6581
12,6.6929,6.6353
13,6.6661,6.6034
14,6.632,6.5747
15,6.5931,6.5389
16,6.5417,6.4733
17,6.487,6.4174
18,6.4342,6.3581
19,6.3798,6.3034
20,6.3308,6.2564
21,6.2818,6.2021
22,6.2314,6.1531
23,6.1867,6.1192
24,6.1469,6.0743
25,6.0992,6.0377
26,6.0531,6.0011
27,6.0071,5.9615
28,5.9761,5.9319
29,5.9349,5.9019
30,5.8983,5.8721
31,5.8629,5.8288
32,5.8288,5.8231
33,5.794,5.7787
34,5.7543,5.7584
35,5.7257,5.7241
36,5.6973,5.7007
37,5.6649,5.6635
38,5.6339,5.6555
39,5.6097,5.6332
40,5.5785,5.6048
41,5.5533,5.5892
42,5.5187,5.5686
43,5.4989,5.543
44,5.4721,5.5438
45,5.4448,5.5112
46,5.4305,5.516
47,5.3949,5.4685
48,5.3672,5.4723
49,5.3455,5.4527
50,5.325,5.4283
51,5.3043,5.4192
52,5.2791,5.384
53,5.2592,5.3847
54,5.2367,5.3737
55,5.2273,5.3831
56,5.2005,5.3543
57,5.1761,5.3549
58,5.1545,5.3375
59,5.1443,5.3241
60,5.1219,5.3111
61,5.0996,5.2998
62,5.0808,5.2999
63,5.061,5.2817
64,5.0435,5.3154
65,5.0288,5.2982
66,5.0101,5.2532
67,4.9849,5.254
68,4.975,5.239
69,4.952,5.2437
70,4.93,5.2482
71,4.9121,5.2384
72,4.8958,5.2058
73,4.8788,5.2016
74,4.8718,5.1922
75,4.8465,5.2087
76,4.8288,5.1849
77,4.8141,5.2134
78,4.794,5.1756
79,4.7791,5.1712
80,4.7585,5.1687
81,4.7409,5.1487
82,4.724,5.1422
83,4.7229,5.1374
84,4.6986,5.1198
85,4.6773,5.1149
86,4.656,5.1346
87,4.6502,5.1258
88,4.6239,5.1108
89,4.607,5.0952
90,4.5912,5.1116
91,4.5787,5.079
92,4.5599,5.0673
93,4.5447,5.0871
94,4.5473,5.1301
95,4.5273,5.0949
96,4.501,5.0589
97,4.4853,5.0653
98,4.4771,5.0636
99,4.4613,5.0652
100,4.4468,5.0665
101,4.4242,5.0196
102,4.4146,5.0333
103,4.4011,5.0297
104,4.3873,5.0176
105,4.3725,5.0057
106,4.3558,5.0079
107,4.3571,5.1235
108,4.3413,5.06
109,4.3049,5.0098
110,4.2994,4.9891
111,4.2832,4.9935
112,4.2792,5.0041
113,4.2542,4.9819
114,4.2384,4.9684
115,4.2233,4.992
116,4.209,4.9953
117,4.2011,4.9658
118,4.199,4.9324
119,4.1761,4.9817
120,4.1609,4.9261
121,4.1497,4.9045
122,4.1347,4.9789
123,4.1253,4.9851
124,4.1201,4.9143
125,4.1055,4.9333
126,4.0884,5.0065
127,4.084,4.9513
128,4.0579,4.9524
129,4.0487,5.0001
130,4.038,5.0075
131,4.0287,4.9445
