epoch,train acc,val acc
1,0.1,0.1744
2,0.2229,0.3255
3,0.3118,0.3802
4,0.328,0.3832
5,0.3323,0.3866
6,0.3317,0.3863
7,0.3326,0.3844
8,0.3332,0.3872
9,0.3331,0.3794
10,0.333,0.3854
11,0.3318,0.3784
12,0.3249,0.369
13,0.3143,0.3606
14,0.3034,0.3562
15,0.3001,0.3548
16,0.2991,0.3562
17,0.2984,0.3408
18,0.2904,0.3372
19,0.2891,0.3232
20,0.2761,0.334
21,0.2736,0.3238
22,0.264,0.3186
23,0.2619,0.3158
24,0.259,0.3095
25,0.2586,0.3198
26,0.2604,0.322
27,0.2624,0.3266
28,0.264,0.3292
29,0.267,0.3212
30,0.2658,0.3214
31,0.2674,0.3296
32,0.27,0.3242
33,0.274,0.3308
34,0.2784,0.331
35,0.2838,0.3432
36,0.2856,0.346
37,0.2901,0.3485
38,0.2928,0.3536
39,0.2972,0.3587
40,0.3004,0.3599
41,0.3026,0.3659
42,0.3034,0.364
43,0.3056,0.3654
44,0.3104,0.3652
45,0.3081,0.3754
46,0.314,0.3734
47,0.3165,0.3755
48,0.317,0.379
49,0.322,0.383
50,0.3206,0.3841
51,0.3232,0.385
52,0.3269,0.3918
53,0.3289,0.3905
54,0.3347,0.3997
55,0.3342,0.4023
56,0.3373,0.3999
57,0.3395,0.4029
58,0.3433,0.4138
59,0.3421,0.4058
60,0.3474,0.4077
61,0.3499,0.4074
62,0.3501,0.4147
63,0.3541,0.4177
64,0.355,0.4179
65,0.3557,0.4178
66,0.3584,0.416
67,0.3631,0.4246
68,0.36,0.4285
69,0.3656,0.4272
70,0.3687,0.4312
71,0.3713,0.4319
72,0.3736,0.4261
73,0.3746,0.4312
74,0.3805,0.4472
75,0.3834,0.4437
76,0.3843,0.4541
77,0.3836,0.4478
78,0.3874,0.454
79,0.3893,0.4656
80,0.3928,0.4545
81,0.3926,0.4575
82,0.3993,0.4584
83,0.3987,0.4525
84,0.4023,0.4668
85,0.4044,0.4698
86,0.4052,0.4666
87,0.4084,0.4661
88,0.4143,0.4712
89,0.4172,0.4738
90,0.4183,0.4804
91,0.4202,0.4806
92,0.4252,0.479
93,0.4277,0.4914
94,0.4298,0.5054
95,0.4326,0.499
96,0.4359,0.4994
97,0.4364,0.4968
98,0.4398,0.5043
99,0.4374,0.5048
100,0.4416,0.511
101,0.445,0.5157
102,0.4482,0.5206
103,0.4486,0.5226
104,0.4568,0.5184
105,0.4553,0.5267
106,0.456,0.5224
107,0.4596,0.538
108,0.4661,0.5257
109,0.4606,0.5159
110,0.464,0.5318
111,0.473,0.5258
112,0.4709,0.5464
113,0.4736,0.534
114,0.4732,0.5326
115,0.472,0.5378
116,0.4746,0.539
117,0.4801,0.5565
118,0.476,0.5455
119,0.4809,0.5614
120,0.4827,0.5494
121,0.4855,0.5489
122,0.4886,0.5522
123,0.4902,0.5603
124,0.4881,0.5652
125,0.4905,0.5556
126,0.4964,0.5626
127,0.4944,0.5552
128,0.4948,0.5599
129,0.4972,0.5518
130,0.4975,0.5624
131,0.4968,0.5692
132,0.4964,0.562
133,0.4986,0.5803
134,0.5001,0.5598
135,0.503,0.5668
136,0.4994,0.58
137,0.503,0.5752
138,0.5006,0.5663
139,0.506,0.5606
140,0.5097,0.5791
141,0.5073,0.5714
142,0.511,0.5803
143,0.5092,0.5774
144,0.5074,0.577
145,0.5155,0.5729
146,0.5154,0.5832
147,0.5152,0.5873
148,0.5148,0.5836
149,0.519,0.5786
150,0.5125,0.5955
151,0.5142,0.5911
152,0.5182,0.5762
153,0.5212,0.5831
154,0.523,0.58
155,0.5196,0.5865
156,0.5214,0.5829
157,0.5263,0.5914
158,0.5161,0.5966
159,0.526,0.583
160,0.5242,0.5829
161,0.5258,0.5867
162,0.529,0.5822
163,0.5257,0.5862
164,0.5276,0.5902
165,0.5268,0.5964
166,0.5285,0.5887
167,0.5284,0.5943
168,0.5254,0.5925
169,0.5352,0.5954
170,0.531,0.5942
171,0.5309,0.592
172,0.5297,0.5886
173,0.5382,0.5996
174,0.5324,0.5987
175,0.5364,0.589
176,0.536,0.5978
177,0.5382,0.5826
178,0.5376,0.6032
179,0.5352,0.5905
180,0.5347,0.5921
181,0.536,0.5838
182,0.537,0.5784
183,0.5388,0.5914
184,0.5418,0.605
185,0.5404,0.6034
186,0.5416,0.5997
187,0.5449,0.6106
188,0.5324,0.6076
189,0.5411,0.601
190,0.5454,0.6188
191,0.5388,0.6044
192,0.548,0.6003
193,0.5474,0.603
194,0.5397,0.5938
195,0.5417,0.5983
196,0.5434,0.5973
197,0.5468,0.596
198,0.5472,0.6124
199,0.549,0.6175
200,0.5477,0.6062
201,0.5459,0.596
202,0.543,0.6096
203,0.5469,0.5978
204,0.5476,0.5962
205,0.5469,0.6101
206,0.551,0.6043
207,0.5512,0.5909
208,0.5466,0.5947
209,0.5552,0.6013
210,0.5522,0.6033
211,0.5527,0.6066
212,0.5551,0.5938
213,0.5539,0.5914
214,0.5489,0.6113
215,0.5516,0.6038
216,0.5534,0.5916
217,0.5513,0.6
218,0.5538,0.5863
219,0.5584,0.604
