epoch,train acc,val acc
1,0.142,0.283
2,0.3089,0.3836
3,0.3322,0.3882
4,0.3338,0.3896
5,0.3348,0.3872
6,0.3372,0.3912
7,0.3308,0.3716
8,0.3156,0.3615
9,0.3051,0.3488
10,0.3032,0.3386
11,0.2968,0.3316
12,0.287,0.3287
13,0.2784,0.3252
14,0.2708,0.3301
15,0.2688,0.3291
16,0.2753,0.3283
17,0.2771,0.325
18,0.2755,0.327
19,0.2808,0.3286
20,0.2817,0.3414
21,0.2834,0.3372
22,0.2866,0.3448
23,0.2913,0.3478
24,0.2986,0.3594
25,0.3016,0.365
26,0.3054,0.3704
27,0.3108,0.3706
28,0.3165,0.3719
29,0.3216,0.3808
30,0.3228,0.3817
31,0.3288,0.3818
32,0.3321,0.3933
33,0.3316,0.3885
34,0.3389,0.3945
35,0.3433,0.4033
36,0.3451,0.4047
37,0.3525,0.413
38,0.3594,0.4219
39,0.3625,0.4185
40,0.3658,0.4293
41,0.3704,0.4328
42,0.371,0.4292
43,0.3791,0.4376
44,0.3851,0.4497
45,0.3881,0.4527
46,0.3946,0.4588
47,0.3997,0.4656
48,0.4014,0.4627
49,0.4072,0.4721
50,0.41,0.4784
51,0.4117,0.4778
52,0.4204,0.4955
53,0.421,0.4879
54,0.426,0.4864
55,0.4268,0.4982
56,0.4356,0.5008
57,0.434,0.505
58,0.4374,0.5165
59,0.4414,0.515
60,0.4478,0.5122
61,0.4509,0.5238
62,0.4533,0.5252
63,0.458,0.5356
64,0.4571,0.5287
65,0.4609,0.5403
66,0.461,0.5328
67,0.4676,0.5392
68,0.4676,0.542
69,0.4678,0.5444
70,0.4732,0.5462
71,0.4746,0.5469
72,0.4745,0.5628
73,0.481,0.5549
74,0.4838,0.5566
75,0.4828,0.5482
76,0.4862,0.5562
77,0.4902,0.5685
78,0.4901,0.5676
79,0.4926,0.5696
80,0.4956,0.5741
81,0.497,0.5783
82,0.497,0.5718
83,0.4969,0.5778
84,0.504,0.5782
85,0.5058,0.5811
86,0.5082,0.5877
87,0.5107,0.589
88,0.5109,0.5934
89,0.5119,0.5878
90,0.5128,0.5927
91,0.5141,0.5913
92,0.5172,0.5869
93,0.5214,0.5942
94,0.5172,0.5846
95,0.521,0.5926
96,0.5236,0.5929
97,0.523,0.5969
98,0.5231,0.5998
99,0.5258,0.6062
100,0.5299,0.5942
101,0.5244,0.6043
102,0.5287,0.5996
103,0.5312,0.601
104,0.5283,0.6018
105,0.5322,0.6015
106,0.5337,0.6146
107,0.532,0.5989
108,0.5327,0.5919
109,0.5377,0.613
110,0.5325,0.5955
111,0.5335,0.6076
112,0.5377,0.6037
113,0.5422,0.5993
114,0.5366,0.6098
115,0.5402,0.6083
116,0.5426,0.6137
117,0.5432,0.6157
118,0.5428,0.6135
119,0.544,0.6029
120,0.5425,0.6186
121,0.5429,0.613
122,0.5472,0.6184
123,0.5437,0.6118
124,0.545,0.6145
125,0.541,0.6158
126,0.5468,0.6008
127,0.5471,0.6056
128,0.5472,0.6088
129,0.549,0.6082
130,0.546,0.6155
131,0.5505,0.6096
132,0.5528,0.6227
133,0.5542,0.6126
134,0.5513,0.6018
135,0.5492,0.6083
136,0.5527,0.6135
137,0.5509,0.6164
138,0.553,0.6093
139,0.5541,0.6144
140,0.5546,0.6148
141,0.556,0.6175
142,0.5498,0.6123
143,0.5492,0.6116
144,0.5491,0.6283
145,0.5519,0.6107
146,0.554,0.6027
147,0.555,0.6241
148,0.5565,0.6093
149,0.5528,0.6101
150,0.5572,0.6104
151,0.556,0.6144
152,0.5548,0.6136
153,0.5574,0.6141
154,0.558,0.6126
155,0.56,0.6094
156,0.5596,0.6017
157,0.5567,0.6016
158,0.5592,0.601
159,0.5588,0.602
160,0.5573,0.6097
161,0.5589,0.5988
162,0.5554,0.6052
163,0.5606,0.6008
164,0.5581,0.5996
165,0.5578,0.6002
166,0.5618,0.613
167,0.5597,0.6106
168,0.5561,0.611
169,0.5643,0.6008
170,0.5597,0.605
171,0.5625,0.605
172,0.5616,0.6074
173,0.5628,0.6135
174,0.5676,0.5977
175,0.5656,0.6103
176,0.5616,0.5971
177,0.568,0.6098
178,0.5618,0.6168
179,0.5651,0.6039
180,0.5618,0.6066
181,0.5646,0.6068
182,0.5667,0.6138
183,0.565,0.615
184,0.5674,0.5938
185,0.5686,0.6119
186,0.5668,0.6002
187,0.5671,0.6136
188,0.5662,0.5988
189,0.567,0.604
190,0.5674,0.5891
191,0.5662,0.6074
192,0.5643,0.5973
193,0.5692,0.6003
194,0.5673,0.6058
195,0.5702,0.5922
196,0.5656,0.6105
197,0.5696,0.5881
198,0.5649,0.596
199,0.5712,0.5966
200,0.5715,0.5936
201,0.5723,0.6043
202,0.5728,0.592
203,0.5695,0.6012
204,0.5734,0.5994
205,0.5696,0.5939
206,0.569,0.6012
207,0.5738,0.5948
208,0.5728,0.5903
209,0.5701,0.582
210,0.5721,0.5833
211,0.5736,0.5873
212,0.5766,0.6044
213,0.5689,0.5981
214,0.569,0.5908
215,0.5789,0.5944
216,0.577,0.5926
217,0.5761,0.5927
218,0.5744,0.5851
219,0.5786,0.591
220,0.5778,0.593
221,0.5804,0.5918
222,0.5784,0.5841
223,0.581,0.5965
224,0.5804,0.5983
225,0.5811,0.5772
226,0.5763,0.584
227,0.5802,0.5896
228,0.5771,0.5883
229,0.5768,0.5802
230,0.5814,0.5802
231,0.5816,0.5794
232,0.5786,0.5808
233,0.5785,0.5844
234,0.5804,0.601
235,0.5824,0.5801
236,0.5806,0.5872
237,0.5784,0.5871
238,0.5844,0.5833
239,0.5821,0.5898
240,0.5893,0.578
241,0.5825,0.5802
242,0.5834,0.5863
243,0.5826,0.579
244,0.5801,0.5756
245,0.5852,0.5791
246,0.5809,0.5891
247,0.582,0.5672
248,0.5861,0.5781
249,0.5857,0.5787
250,0.5868,0.5875
251,0.5894,0.576
252,0.5842,0.5782
253,0.5856,0.5774
254,0.5878,0.5876
255,0.587,0.58
256,0.5871,0.576
257,0.5891,0.5776
258,0.5833,0.5758
259,0.5902,0.58
260,0.5911,0.594
261,0.5909,0.5748
262,0.5912,0.5706
263,0.5956,0.5707
264,0.5926,0.5886
265,0.5914,0.5777
266,0.5953,0.5886
267,0.5905,0.5726
268,0.59,0.5749
269,0.5905,0.5874
270,0.5914,0.5683
271,0.595,0.5681
272,0.5962,0.5691
273,0.5944,0.5783
274,0.5928,0.5692
275,0.5923,0.5769
276,0.5992,0.5657
277,0.5996,0.5708
278,0.5951,0.5669
279,0.5951,0.574
280,0.6,0.5651
281,0.595,0.5724
282,0.5975,0.5686
283,0.5943,0.5688
284,0.5998,0.5839
285,0.5965,0.5744
286,0.5994,0.5712
287,0.5982,0.5772
288,0.6036,0.5803
289,0.602,0.5712
290,0.5982,0.5631
291,0.6002,0.579
292,0.599,0.5675
293,0.6023,0.5608
294,0.6026,0.5681
295,0.6015,0.5698
296,0.6,0.5744
297,0.6016,0.5699
298,0.6006,0.5698
299,0.6051,0.5662
300,0.6001,0.5746
301,0.6038,0.5678
302,0.6037,0.575
303,0.6008,0.57
304,0.603,0.5694
305,0.6054,0.574
306,0.6022,0.5676
307,0.6056,0.5703
308,0.6043,0.5722
309,0.6078,0.5689
310,0.6076,0.5701
311,0.6088,0.5721
312,0.6105,0.5774
313,0.609,0.5703
314,0.6092,0.5671
315,0.6098,0.5716
316,0.608,0.5719
317,0.6105,0.577
318,0.6084,0.5718
319,0.6097,0.5772
320,0.6055,0.5638
321,0.6093,0.5713
322,0.6086,0.5675
323,0.6112,0.5783
324,0.6098,0.5641
325,0.607,0.5674
326,0.611,0.5776
327,0.6152,0.5771
328,0.613,0.57
329,0.6122,0.5623
330,0.6184,0.5629
331,0.6136,0.5788
332,0.6118,0.567
333,0.618,0.5674
334,0.6113,0.568
335,0.6147,0.5802
336,0.6148,0.5618
337,0.6186,0.5664
338,0.6143,0.5647
339,0.6161,0.5634
340,0.6162,0.5608
341,0.6186,0.5703
342,0.6161,0.5671
343,0.6215,0.5706
344,0.6192,0.5739
345,0.6156,0.576
346,0.6182,0.566
347,0.6201,0.5642
348,0.62,0.5677
349,0.617,0.5704
350,0.6211,0.5551
351,0.6191,0.5749
352,0.6218,0.5683
353,0.616,0.5597
354,0.6244,0.5697
355,0.6198,0.5574
356,0.6239,0.5648
357,0.6222,0.5672
358,0.6218,0.573
359,0.618,0.5652
360,0.6264,0.5687
361,0.6242,0.5618
362,0.6262,0.5727
363,0.625,0.5704
364,0.6244,0.5743
365,0.6276,0.573
366,0.6232,0.5577
367,0.6287,0.5742
368,0.6235,0.5643
369,0.6275,0.5736
370,0.6279,0.5754
371,0.6296,0.5762
372,0.6244,0.5672
373,0.6284,0.5634
374,0.624,0.5702
375,0.6286,0.5679
376,0.6292,0.5725
377,0.6309,0.5614
378,0.6271,0.5612
379,0.6319,0.5646
380,0.6305,0.5726
381,0.6276,0.5658
382,0.6322,0.5658
383,0.6337,0.5693
384,0.6345,0.5693
385,0.6327,0.5638
386,0.6372,0.5723
387,0.629,0.5646
388,0.6332,0.568
389,0.6337,0.5765
390,0.6362,0.5703
391,0.6338,0.5618
392,0.6346,0.5679
393,0.636,0.5762
394,0.6298,0.5585
395,0.6348,0.5784
396,0.6344,0.5718
397,0.6371,0.5705
398,0.6375,0.5726
399,0.6384,0.5546
400,0.6354,0.5661
401,0.6356,0.5669
402,0.6358,0.568
403,0.6368,0.5686
404,0.6341,0.5572
405,0.6398,0.5685
406,0.6394,0.5649
407,0.6405,0.5667
408,0.6374,0.565
409,0.6391,0.5671
410,0.6402,0.5711
411,0.638,0.5686
412,0.6402,0.5572
413,0.6361,0.5642
414,0.6409,0.5512
415,0.6451,0.571
416,0.6424,0.5661
417,0.6447,0.5715
418,0.6423,0.5631
419,0.6416,0.5612
420,0.6459,0.5641
421,0.6437,0.5682
422,0.6437,0.5696
423,0.6438,0.561
424,0.6442,0.5643
425,0.6474,0.566
426,0.6435,0.5651
427,0.646,0.5758
428,0.6469,0.5583
429,0.6484,0.564
430,0.6463,0.5683
431,0.6481,0.5669
432,0.6485,0.5681
433,0.6483,0.5668
434,0.65,0.5658
435,0.6498,0.5696
436,0.6504,0.5724
437,0.647,0.5718
438,0.6547,0.5616
439,0.6515,0.5642
440,0.6485,0.572
441,0.6532,0.5718
442,0.6526,0.5654
443,0.6505,0.5687
444,0.6558,0.5636
445,0.6535,0.5676
446,0.6546,0.568
447,0.6538,0.5594
448,0.655,0.5687
449,0.6532,0.5656
450,0.6554,0.5741
451,0.6564,0.5672
452,0.6502,0.5728
453,0.6569,0.5687
454,0.6528,0.5707
455,0.6586,0.561
456,0.6546,0.5703
457,0.6574,0.5655
458,0.6544,0.5624
459,0.6579,0.5673
460,0.662,0.5618
461,0.6618,0.5582
462,0.6594,0.5556
463,0.6595,0.5618
464,0.6583,0.5638
465,0.6572,0.5706
466,0.661,0.5709
467,0.6568,0.5658
468,0.658,0.5653
469,0.6629,0.5569
470,0.6626,0.5596
471,0.6635,0.5658
472,0.6613,0.558
473,0.6614,0.5602
474,0.6638,0.5724
475,0.664,0.5668
476,0.6654,0.5631
477,0.6667,0.5631
478,0.6633,0.5699
479,0.6666,0.5701
480,0.6654,0.5775
481,0.6653,0.5554
482,0.6695,0.5715
483,0.6682,0.5514
484,0.667,0.5697
485,0.6673,0.5638
486,0.6692,0.5742
487,0.6668,0.5598
488,0.6616,0.5637
489,0.6667,0.5631
490,0.6646,0.5638
491,0.671,0.5678
492,0.671,0.5669
493,0.6686,0.561
494,0.6682,0.5638
495,0.6724,0.5574
496,0.6668,0.5638
497,0.6746,0.5557
498,0.6719,0.5704
499,0.6749,0.5574
500,0.6696,0.5636
