epoch,train loss,test loss
1,7.3401,7.256
2,7.1941,6.9878
3,6.984,6.7547
4,6.8183,6.6349
5,6.6948,6.566
6,6.601,6.4951
7,6.4988,6.373
8,6.3824,6.2289
9,6.2613,6.1195
10,6.155,6.026
11,6.0508,5.9252
12,5.9584,5.8487
13,5.8667,5.7672
14,5.7799,5.697
15,5.6935,5.6257
16,5.6153,5.5552
17,5.5505,5.4939
18,5.4816,5.4386
19,5.4046,5.3843
20,5.3373,5.3304
21,5.284,5.2751
22,5.217,5.2102
23,5.1539,5.1946
24,5.1075,5.0975
25,5.0402,5.0537
26,4.9837,5.0374
27,4.9206,4.9683
28,4.8692,4.9497
29,4.8025,4.9026
30,4.7541,4.9092
31,4.7346,4.7888
32,4.6612,4.7667
33,4.6124,4.7772
34,4.552,4.7497
35,4.5059,4.6485
36,4.4645,4.6644
37,4.4143,4.6205
38,4.3522,4.6114
39,4.3167,4.6208
40,4.2765,4.5846
41,4.2302,4.4693
42,4.235,4.52
43,4.1845,4.4726
44,4.1316,4.3921
45,4.0925,4.4323
46,4.0516,4.4276
47,4.0061,4.3309
48,3.9664,4.3917
49,3.9513,4.3495
50,3.9173,4.2825
51,3.901,4.3319
52,3.8594,4.2341
53,3.8384,4.2692
54,3.8,4.3007
55,3.7765,4.225
56,3.7302,4.2454
57,3.7239,4.2008
58,3.6982,4.1336
59,3.6655,4.1313
60,3.6335,4.2309
61,3.5987,4.1547
62,3.5811,4.1275
63,3.5609,4.1135
64,3.5398,4.1292
65,3.5203,4.0431
66,3.5234,4.1723
67,3.4744,4.0949
68,3.4745,4.079
69,3.4529,4.1007
70,3.418,4.0872
71,3.3943,4.1044
72,3.4061,3.9781
73,3.3556,4.0418
74,3.3564,4.0538
75,3.345,4.1086
76,3.3213,4.0626
77,3.2931,4.0675
78,3.2846,4.0133
79,3.2822,3.9458
80,3.2572,4.0311
81,3.2372,4.0161
82,3.2347,3.951
83,3.2261,4.1054
84,3.1954,4.067
85,3.1837,4.0469
86,3.1567,3.9814
87,3.1406,4.0107
88,3.1205,4.0387
89,3.121,4.1148
90,3.1143,3.9891
91,3.0986,3.9733
92,3.0762,4.0837
93,3.0471,4.0479
94,3.0632,4.264
95,3.0331,4.2268
96,3.0276,4.1894
97,3.0187,4.0968
98,3.0042,4.1529
99,2.9962,4.2318
