epoch,train acc,val acc
1,0.1894,0.3604
2,0.3312,0.3966
3,0.3445,0.3974
4,0.3428,0.3972
5,0.3427,0.3962
6,0.3383,0.3898
7,0.3298,0.3821
8,0.3318,0.3871
9,0.339,0.413
10,0.3584,0.4336
11,0.3732,0.4433
12,0.378,0.4534
13,0.386,0.4624
14,0.3922,0.478
15,0.3992,0.4876
16,0.4094,0.4934
17,0.4198,0.4992
18,0.4243,0.5108
19,0.4366,0.5028
20,0.441,0.5216
21,0.449,0.5317
22,0.4542,0.5357
23,0.4628,0.542
24,0.4736,0.5595
25,0.4856,0.5646
26,0.4921,0.574
27,0.5,0.5868
28,0.5065,0.5948
29,0.5144,0.6018
30,0.5204,0.614
31,0.5278,0.6173
32,0.535,0.625
33,0.5388,0.6212
34,0.5431,0.6294
35,0.5484,0.6389
36,0.5514,0.6424
37,0.5556,0.6481
38,0.565,0.6519
39,0.5629,0.6532
40,0.5674,0.6598
41,0.568,0.6603
42,0.5718,0.6626
43,0.577,0.6658
44,0.5782,0.6752
45,0.5819,0.6774
46,0.5841,0.6779
47,0.587,0.6785
48,0.5866,0.6817
49,0.5903,0.689
50,0.5928,0.6906
51,0.5936,0.6889
52,0.5962,0.6915
53,0.5961,0.6886
54,0.6003,0.695
55,0.5982,0.6906
56,0.5999,0.6982
57,0.5999,0.695
58,0.603,0.7006
59,0.6034,0.6992
60,0.6035,0.6966
61,0.6085,0.6979
62,0.6057,0.7002
63,0.6098,0.7056
64,0.6096,0.7051
65,0.6103,0.7061
66,0.6126,0.6953
67,0.6131,0.7066
68,0.6112,0.707
69,0.6129,0.7084
70,0.614,0.7109
71,0.6166,0.7095
72,0.6136,0.7059
73,0.6177,0.7095
74,0.6198,0.709
75,0.6177,0.7044
76,0.6182,0.7113
77,0.6188,0.7117
78,0.6208,0.7083
79,0.6204,0.7156
80,0.6201,0.7174
81,0.6205,0.7099
82,0.6194,0.7108
83,0.6228,0.7084
84,0.624,0.7112
85,0.6238,0.7103
86,0.6244,0.7118
87,0.6252,0.7103
88,0.6267,0.712
89,0.6278,0.7127
90,0.6275,0.7098
91,0.6267,0.7115
92,0.6274,0.7086
93,0.6258,0.7148
94,0.629,0.7077
95,0.63,0.7072
96,0.6321,0.7098
97,0.6313,0.7171
98,0.63,0.7161
99,0.6288,0.7061
100,0.6323,0.7081
