epoch,train acc,val acc
1,0.0976,0.1506
2,0.1994,0.2865
3,0.2986,0.3784
4,0.3266,0.3836
5,0.3307,0.3885
6,0.3318,0.387
7,0.3336,0.3863
8,0.3346,0.3878
9,0.3357,0.3869
10,0.3348,0.3854
11,0.3353,0.3858
12,0.3372,0.3876
13,0.3358,0.3819
14,0.3299,0.3786
15,0.3242,0.3699
16,0.3163,0.3639
17,0.3112,0.343
18,0.2974,0.3529
19,0.305,0.3551
20,0.3012,0.3508
21,0.3005,0.3441
22,0.2969,0.3422
23,0.2933,0.3364
24,0.2947,0.338
25,0.2899,0.3418
26,0.2881,0.3369
27,0.2881,0.3364
28,0.2812,0.3398
29,0.2802,0.3318
30,0.2765,0.3325
31,0.276,0.3298
32,0.274,0.3288
33,0.271,0.325
34,0.2744,0.3249
35,0.2752,0.3345
36,0.278,0.33
37,0.2775,0.3375
38,0.2803,0.3368
39,0.281,0.3342
40,0.2799,0.3406
41,0.2832,0.3372
42,0.2841,0.336
43,0.2844,0.3374
44,0.2869,0.3404
45,0.2874,0.3458
46,0.2911,0.349
47,0.2921,0.3497
48,0.2948,0.3559
49,0.2968,0.3521
50,0.299,0.3598
51,0.3003,0.3571
52,0.3032,0.3672
53,0.3053,0.3634
54,0.3078,0.363
55,0.3079,0.3688
56,0.3124,0.3734
57,0.3116,0.3739
58,0.3158,0.3774
59,0.3166,0.3789
60,0.3196,0.3788
61,0.323,0.381
62,0.3262,0.3826
63,0.3276,0.3883
64,0.3275,0.3854
65,0.3299,0.3928
66,0.3303,0.389
67,0.3339,0.392
68,0.3364,0.3942
69,0.3366,0.3974
70,0.3405,0.4016
71,0.3435,0.3988
72,0.3438,0.4056
73,0.3472,0.4042
74,0.3506,0.4096
75,0.3486,0.4034
76,0.3522,0.4111
77,0.3556,0.4154
78,0.3578,0.4166
79,0.3593,0.4195
80,0.3629,0.4237
81,0.3665,0.4236
82,0.3672,0.423
83,0.3698,0.4284
84,0.3723,0.4292
85,0.3753,0.432
86,0.3777,0.4398
87,0.3804,0.443
88,0.3834,0.4419
89,0.384,0.4418
90,0.3858,0.4497
91,0.3876,0.4462
92,0.3918,0.4459
93,0.3936,0.4596
94,0.3932,0.4528
95,0.3974,0.457
96,0.399,0.46
97,0.4004,0.4598
98,0.4017,0.465
99,0.4036,0.4712
100,0.409,0.471
101,0.4065,0.4772
102,0.4095,0.4706
103,0.4127,0.4773
104,0.4117,0.485
105,0.4157,0.4827
106,0.4196,0.4898
107,0.4208,0.4908
108,0.4223,0.4784
109,0.4271,0.4992
110,0.4272,0.4863
111,0.4262,0.4948
112,0.4306,0.4972
113,0.4362,0.4919
114,0.4315,0.504
115,0.4369,0.502
116,0.4405,0.5112
117,0.4414,0.5089
118,0.443,0.5109
119,0.4432,0.5078
120,0.4451,0.5182
121,0.4479,0.5194
122,0.4521,0.5178
123,0.4508,0.5198
124,0.453,0.5257
125,0.4514,0.525
126,0.4554,0.5185
127,0.4588,0.5234
128,0.4598,0.5236
129,0.462,0.5249
130,0.4604,0.5335
131,0.4625,0.5286
132,0.4663,0.5392
133,0.467,0.532
134,0.4684,0.5284
135,0.4674,0.5362
136,0.4705,0.539
137,0.4686,0.5396
138,0.4728,0.5408
139,0.474,0.542
140,0.475,0.5474
141,0.4794,0.549
142,0.4744,0.549
143,0.4754,0.5389
144,0.4778,0.557
145,0.4804,0.5518
146,0.4818,0.5409
147,0.4798,0.5626
148,0.4853,0.5576
149,0.482,0.5528
150,0.486,0.55
151,0.4877,0.5567
152,0.486,0.5606
153,0.4904,0.5567
154,0.4914,0.56
155,0.4917,0.56
156,0.493,0.555
157,0.4916,0.5646
158,0.4932,0.5584
159,0.4942,0.561
160,0.4954,0.5675
161,0.4955,0.5582
162,0.495,0.564
163,0.4963,0.5614
164,0.4962,0.5638
165,0.4952,0.5674
166,0.5024,0.5769
167,0.5012,0.577
168,0.5001,0.5761
169,0.5062,0.5686
170,0.5018,0.5694
171,0.505,0.5749
172,0.5035,0.5697
173,0.507,0.5809
174,0.5114,0.5686
175,0.5102,0.5783
176,0.5074,0.5741
177,0.5137,0.5842
178,0.5108,0.587
179,0.5131,0.5812
180,0.5108,0.5846
181,0.5148,0.5841
182,0.5166,0.5909
183,0.5154,0.5894
184,0.5191,0.5753
185,0.5193,0.5912
186,0.5171,0.5795
187,0.5186,0.5919
188,0.5184,0.5774
189,0.5197,0.5842
190,0.5211,0.5776
191,0.5205,0.5913
192,0.5193,0.5833
193,0.5212,0.5859
194,0.5212,0.5904
195,0.5252,0.574
196,0.5186,0.5971
197,0.5246,0.5774
198,0.522,0.5826
199,0.5256,0.5838
200,0.5262,0.5854
201,0.5282,0.596
202,0.5287,0.5903
203,0.5268,0.5979
204,0.531,0.5932
205,0.5256,0.5937
206,0.524,0.5972
207,0.5295,0.591
208,0.5295,0.5872
209,0.5305,0.5826
210,0.5305,0.5825
211,0.5324,0.5906
212,0.5342,0.6032
213,0.5272,0.5968
214,0.5288,0.5966
215,0.5367,0.5944
216,0.534,0.5952
217,0.5353,0.6013
218,0.5339,0.5947
219,0.5352,0.5933
220,0.5372,0.6033
221,0.5386,0.6012
222,0.5362,0.6005
223,0.5385,0.6102
224,0.5389,0.6113
225,0.5401,0.5955
226,0.5352,0.5968
227,0.538,0.6026
228,0.5369,0.6038
229,0.5382,0.5926
230,0.5394,0.5958
231,0.5414,0.5969
232,0.5394,0.5973
233,0.5397,0.604
234,0.5394,0.6132
235,0.5434,0.6037
236,0.5397,0.5982
237,0.5393,0.6054
238,0.5414,0.605
239,0.5404,0.6034
240,0.5466,0.5972
241,0.5428,0.6012
242,0.5422,0.6073
243,0.5416,0.6008
244,0.5394,0.5994
245,0.545,0.5986
246,0.5399,0.6142
247,0.5418,0.5928
248,0.545,0.5998
249,0.5441,0.5994
250,0.5449,0.6109
251,0.5474,0.6038
252,0.543,0.6058
253,0.5429,0.6058
254,0.544,0.6063
255,0.5438,0.6012
256,0.5458,0.6002
257,0.5481,0.5999
258,0.5427,0.605
259,0.5483,0.6075
260,0.5506,0.6129
261,0.5483,0.5955
262,0.5474,0.597
263,0.5527,0.598
264,0.5499,0.6118
265,0.5488,0.6025
266,0.5506,0.6146
267,0.549,0.5966
268,0.549,0.5973
269,0.5476,0.6143
270,0.5476,0.5984
271,0.5532,0.5962
272,0.5567,0.6039
273,0.5498,0.6051
274,0.5494,0.6003
275,0.5499,0.6085
276,0.5544,0.6016
277,0.5558,0.6072
278,0.5512,0.605
279,0.5514,0.6068
280,0.5569,0.5989
281,0.5524,0.6075
282,0.5528,0.6038
283,0.551,0.6025
284,0.5557,0.6162
285,0.5538,0.6096
286,0.5542,0.6039
287,0.5553,0.6083
288,0.5584,0.611
289,0.5569,0.607
290,0.5517,0.5973
291,0.5538,0.6066
292,0.5508,0.6063
293,0.5554,0.5917
294,0.5568,0.6018
295,0.5552,0.6022
296,0.551,0.608
297,0.555,0.6089
298,0.5546,0.6086
299,0.5558,0.5978
300,0.551,0.6054
301,0.556,0.5993
302,0.5574,0.6122
303,0.5543,0.6071
304,0.5543,0.6028
