epoch,train loss,test loss
1,7.3674,7.3516
2,7.3517,7.3268
3,7.3283,7.287
4,7.2987,7.2442
5,7.2625,7.1925
6,7.2201,7.1321
7,7.1725,7.0686
8,7.1224,7.0034
9,7.0709,6.9442
10,7.0218,6.8912
11,6.9771,6.8389
12,6.9293,6.791
13,6.8922,6.7542
14,6.8555,6.7253
15,6.8237,6.7068
16,6.7959,6.6721
17,6.7722,6.6591
18,6.7465,6.6476
19,6.7168,6.6182
20,6.6944,6.596
21,6.6749,6.5973
22,6.6511,6.5753
23,6.6347,6.5604
24,6.6167,6.5317
25,6.599,6.5095
26,6.5801,6.4998
27,6.5511,6.481
28,6.5373,6.4669
29,6.5121,6.4351
30,6.4889,6.4239
31,6.4668,6.3795
32,6.4466,6.3476
33,6.428,6.3298
34,6.3899,6.3051
35,6.371,6.2583
36,6.352,6.2565
37,6.3248,6.2192
38,6.2966,6.2056
39,6.2748,6.1825
40,6.2549,6.1632
41,6.2311,6.1174
42,6.2112,6.115
43,6.186,6.0921
44,6.1671,6.0541
45,6.1402,6.0547
46,6.119,6.0222
47,6.0958,5.9851
48,6.0673,5.9847
49,6.0549,5.9696
50,6.0286,5.9313
51,6.0114,5.9076
52,5.9902,5.8752
53,5.9624,5.8781
54,5.9412,5.863
55,5.9219,5.8453
56,5.8995,5.8221
57,5.8749,5.8055
58,5.854,5.7723
59,5.8377,5.7567
60,5.8178,5.766
61,5.7955,5.7296
62,5.7722,5.7126
63,5.7575,5.6662
64,5.7347,5.6783
65,5.7202,5.6471
66,5.7128,5.6565
67,5.677,5.6289
68,5.668,5.6201
69,5.653,5.5906
70,5.6245,5.5822
71,5.6091,5.5726
72,5.5966,5.532
73,5.5784,5.5209
74,5.558,5.5092
75,5.5451,5.5165
76,5.519,5.4881
77,5.501,5.4445
78,5.4891,5.4415
79,5.4776,5.4232
80,5.4557,5.4184
81,5.4331,5.3894
82,5.4266,5.392
83,5.4048,5.3763
84,5.3922,5.3585
85,5.3731,5.357
86,5.3518,5.3184
87,5.335,5.3147
88,5.3238,5.2762
89,5.3051,5.2895
90,5.2901,5.2599
91,5.2775,5.2466
92,5.2551,5.2752
93,5.2406,5.2203
94,5.2282,5.2505
95,5.2093,5.2102
96,5.1904,5.2014
97,5.1854,5.1981
98,5.1691,5.1704
99,5.1537,5.134
100,5.1346,5.1455
101,5.126,5.1087
102,5.115,5.1255
103,5.0888,5.0968
104,5.0918,5.0686
105,5.0676,5.0874
106,5.0544,5.0462
107,5.0416,5.032
108,5.0262,5.0763
109,5.0004,5.0111
110,4.9948,5.0437
111,4.9914,5.0068
112,4.9722,5.0049
113,4.9475,5.0338
114,4.9388,4.9906
115,4.9277,4.9868
116,4.9058,4.9434
117,4.893,4.9335
118,4.8872,4.9204
119,4.8675,4.9535
120,4.8601,4.896
121,4.8467,4.8972
122,4.822,4.906
123,4.8194,4.8957
124,4.8055,4.8741
125,4.8061,4.8328
126,4.7727,4.8697
127,4.7586,4.87
128,4.7399,4.8272
129,4.7363,4.8295
130,4.7221,4.8147
131,4.7088,4.8181
132,4.6915,4.7638
133,4.6784,4.7879
134,4.6709,4.7944
135,4.665,4.7496
136,4.6491,4.7678
137,4.638,4.7433
138,4.6225,4.7566
139,4.6077,4.7227
140,4.5941,4.7212
141,4.5754,4.6983
142,4.5853,4.6891
143,4.5689,4.7419
144,4.5479,4.6323
145,4.5425,4.661
146,4.5251,4.7239
147,4.5233,4.5831
148,4.5031,4.6252
149,4.4984,4.6474
150,4.4737,4.6645
151,4.4649,4.6185
152,4.4598,4.6089
153,4.4427,4.6181
154,4.4257,4.5968
155,4.4124,4.6112
156,4.4035,4.6195
157,4.4059,4.5619
158,4.3964,4.6016
159,4.3805,4.6188
160,4.366,4.5484
161,4.3567,4.5642
162,4.3487,4.593
163,4.3411,4.5869
164,4.3294,4.5511
165,4.3143,4.5484
166,4.2964,4.4852
167,4.2972,4.4823
168,4.2823,4.49
169,4.249,4.5262
170,4.2622,4.5178
171,4.2498,4.4953
172,4.2404,4.5084
173,4.2235,4.4555
174,4.2076,4.5171
175,4.1999,4.4504
176,4.2013,4.5106
177,4.1706,4.4175
178,4.1648,4.4172
179,4.1595,4.4427
180,4.1499,4.4265
181,4.1363,4.4258
182,4.1157,4.3967
183,4.121,4.4023
184,4.1048,4.4965
185,4.0946,4.358
186,4.0892,4.4149
187,4.0782,4.3694
188,4.0729,4.4485
189,4.0594,4.4015
190,4.0574,4.4488
191,4.0446,4.3459
192,4.0572,4.4004
193,4.0247,4.3898
194,4.0167,4.3391
195,3.9999,4.4565
196,4.0246,4.3265
197,3.9893,4.432
198,3.9952,4.3971
199,3.9658,4.4077
200,3.9648,4.4117
201,3.959,4.3122
202,3.9384,4.3933
203,3.948,4.3193
204,3.9155,4.3644
205,3.9351,4.3295
206,3.9287,4.3149
207,3.9089,4.3607
208,3.9047,4.3747
209,3.9016,4.4188
210,3.8928,4.3844
211,3.8675,4.351
212,3.8535,4.2558
213,3.8838,4.3001
214,3.8704,4.2985
215,3.826,4.3346
216,3.8338,4.3296
217,3.8306,4.2876
218,3.8285,4.3093
219,3.8195,4.3258
220,3.7988,4.2447
221,3.7883,4.2536
222,3.7841,4.2945
223,3.7716,4.2302
224,3.765,4.2176
225,3.7569,4.3246
226,3.7735,4.3202
227,3.7557,4.2565
228,3.7645,4.2515
229,3.7419,4.356
230,3.7413,4.3302
231,3.7236,4.2891
232,3.7275,4.3096
233,3.721,4.2508
234,3.7185,4.1541
235,3.6883,4.2831
236,3.7094,4.302
237,3.6933,4.2478
238,3.6842,4.2292
239,3.6776,4.2025
240,3.6468,4.2969
241,3.6735,4.2694
242,3.6602,4.2275
243,3.6653,4.2774
244,3.6649,4.2976
245,3.6385,4.3059
246,3.6536,4.1357
247,3.6349,4.3545
248,3.6082,4.2816
249,3.6128,4.2746
250,3.6099,4.2118
251,3.5928,4.2445
252,3.6069,4.2415
253,3.6086,4.2266
254,3.5931,4.1811
255,3.5883,4.2337
256,3.58,4.2328
257,3.5641,4.272
258,3.5802,4.2074
259,3.5576,4.2031
260,3.5332,4.1477
261,3.5467,4.2516
262,3.5456,4.2832
263,3.5102,4.2609
264,3.527,4.1504
265,3.5198,4.2485
266,3.5031,4.1067
267,3.505,4.2458
268,3.5184,4.2817
269,3.5134,4.1266
270,3.4974,4.2487
271,3.4771,4.3041
272,3.4751,4.231
273,3.4809,4.1839
274,3.4882,4.2182
275,3.4794,4.1444
276,3.4504,4.2076
277,3.4476,4.2127
278,3.4536,4.2223
279,3.4515,4.1458
280,3.4249,4.2292
281,3.4464,4.1893
282,3.4317,4.197
283,3.4382,4.2323
284,3.4099,4.0912
285,3.4189,4.1482
286,3.4187,4.1763
287,3.4089,4.1894
288,3.388,4.1342
289,3.388,4.1352
290,3.407,4.2361
291,3.3882,4.1754
292,3.4032,4.1753
293,3.3802,4.2991
294,3.3706,4.1752
295,3.3827,4.1856
296,3.3688,4.1553
297,3.3696,4.173
298,3.3731,4.1659
299,3.3593,4.2247
300,3.3742,4.2277
301,3.3445,4.2711
302,3.3498,4.1263
303,3.364,4.2104
304,3.3411,4.193
