epoch,train loss,test loss
1,7.2359,6.881
2,6.8054,6.5802
3,6.5401,6.3085
4,6.2495,5.9798
5,5.9683,5.7275
6,5.7232,5.5202
7,5.509,5.3687
8,5.3263,5.2387
9,5.1414,5.1108
10,4.9763,5.0142
11,4.8264,4.9036
12,4.6793,4.8198
13,4.5449,4.7424
14,4.4185,4.575
15,4.2917,4.5302
16,4.2019,4.4101
17,4.1144,4.3619
18,4.0023,4.3412
19,3.9109,4.284
20,3.8212,4.193
21,3.7606,4.2243
22,3.6844,4.2075
23,3.637,4.1491
24,3.5548,4.0643
25,3.501,4.05
26,3.4544,4.0771
27,3.3948,4.0664
28,3.3456,4.0322
29,3.3093,3.9783
30,3.2555,4.194
31,3.2345,4.0679
32,3.191,4.093
33,3.1767,4.1798
34,3.1077,4.1561
35,3.1732,4.0887
36,3.0649,4.243
37,3.0138,4.2049
38,2.9586,4.2566
39,2.9514,4.3197
40,2.9329,4.2891
41,2.8888,4.2494
42,2.8884,4.4469
43,2.8594,4.3816
44,2.8279,4.3002
45,2.7996,4.43
46,2.7886,4.407
47,2.7362,4.3724
48,2.72,4.5121
49,2.6996,4.5663
50,2.6814,4.4789
51,2.6825,4.6092
52,2.6325,4.5123
53,2.614,4.6535
54,2.5952,4.747
55,2.5872,4.6752
56,2.5341,4.7491
57,2.5316,4.7475
58,2.5205,4.6884
59,2.4801,4.7765
60,2.4666,4.9939
61,2.433,4.8959
62,2.4345,4.926
63,2.4004,4.8944
64,2.4475,4.8411
65,2.3989,4.9742
66,2.3783,5.1777
67,2.3344,5.1862
68,2.3372,5.1205
69,2.3133,5.199
70,2.285,5.1764
71,2.2651,5.2947
72,2.2608,5.1632
