epoch,train acc,val acc
1,0.1158,0.2253
2,0.2585,0.3647
3,0.3267,0.3872
4,0.3318,0.3877
5,0.3335,0.388
6,0.3339,0.3891
7,0.3345,0.385
8,0.336,0.3879
9,0.3376,0.3852
10,0.3312,0.3754
11,0.3214,0.364
12,0.3104,0.3577
13,0.3041,0.348
14,0.2994,0.3478
15,0.296,0.3478
16,0.2938,0.348
17,0.2912,0.3276
18,0.2811,0.333
19,0.284,0.333
20,0.2779,0.333
21,0.2759,0.3226
22,0.2696,0.3253
23,0.2724,0.3226
24,0.2774,0.3314
25,0.2766,0.3354
26,0.2778,0.3325
27,0.2804,0.3317
28,0.2821,0.3374
29,0.2838,0.3354
30,0.2838,0.3408
31,0.2873,0.3431
32,0.2885,0.3456
33,0.2892,0.3471
34,0.295,0.3515
35,0.2991,0.3611
36,0.3001,0.3622
37,0.3043,0.3662
38,0.3072,0.3704
39,0.309,0.3682
40,0.3106,0.3753
41,0.3141,0.3782
42,0.3155,0.3758
43,0.3189,0.3783
44,0.325,0.3843
45,0.3251,0.3866
46,0.3312,0.3916
47,0.3342,0.3974
48,0.3385,0.3978
49,0.3406,0.4004
50,0.3443,0.4045
51,0.3454,0.4018
52,0.3515,0.4117
53,0.3555,0.4092
54,0.358,0.4141
55,0.3602,0.419
56,0.3668,0.4239
57,0.3678,0.428
58,0.3703,0.4361
59,0.3747,0.4368
60,0.3796,0.4358
61,0.3866,0.4402
62,0.3876,0.448
63,0.3911,0.452
64,0.3948,0.4514
65,0.3986,0.4602
66,0.3982,0.4558
67,0.4049,0.4593
68,0.4062,0.4637
69,0.4088,0.4688
70,0.4134,0.4712
71,0.4148,0.4722
72,0.4166,0.4826
73,0.4224,0.4817
74,0.4256,0.4836
75,0.425,0.479
76,0.4284,0.4867
77,0.4316,0.4987
78,0.4336,0.4992
79,0.4349,0.4998
80,0.4377,0.5015
81,0.4402,0.508
82,0.4409,0.5044
83,0.4423,0.505
84,0.4481,0.5087
85,0.4496,0.5104
86,0.452,0.5154
87,0.4548,0.5175
88,0.4558,0.525
89,0.4573,0.5154
90,0.4598,0.5252
91,0.46,0.5231
92,0.465,0.5244
93,0.4691,0.5309
94,0.4655,0.5236
95,0.4694,0.5307
96,0.4731,0.53
97,0.471,0.5337
98,0.4742,0.5395
99,0.4742,0.5458
100,0.4794,0.5396
101,0.4773,0.5472
102,0.479,0.5432
103,0.4828,0.5414
104,0.481,0.5476
105,0.4841,0.5444
106,0.4881,0.5521
107,0.4852,0.5492
108,0.4878,0.5411
109,0.4912,0.5586
110,0.4888,0.5376
111,0.4895,0.5574
112,0.4946,0.5548
113,0.4996,0.5517
114,0.4951,0.5599
115,0.4986,0.5576
116,0.501,0.5619
117,0.5016,0.5642
118,0.5003,0.5666
119,0.5014,0.5588
120,0.5031,0.5712
121,0.505,0.5683
122,0.5082,0.5718
123,0.5058,0.5672
124,0.5084,0.5736
125,0.505,0.5716
126,0.5104,0.5634
127,0.5119,0.5672
128,0.5128,0.5676
129,0.5134,0.571
130,0.5128,0.5822
131,0.5156,0.5742
132,0.5186,0.5861
133,0.5191,0.5797
134,0.519,0.5711
135,0.5174,0.5808
136,0.5198,0.5847
137,0.5184,0.5894
138,0.5214,0.5835
139,0.5224,0.5857
140,0.5233,0.5911
141,0.526,0.5924
142,0.5207,0.5894
143,0.5222,0.5803
144,0.5225,0.5976
145,0.5246,0.59
146,0.5268,0.5804
147,0.5254,0.6013
148,0.5285,0.5881
149,0.5263,0.59
150,0.5288,0.5864
151,0.5296,0.5928
152,0.5273,0.5913
153,0.531,0.5904
154,0.5311,0.5938
155,0.5332,0.5898
156,0.5328,0.5856
157,0.5305,0.5917
158,0.5331,0.586
159,0.5322,0.586
160,0.5315,0.5921
161,0.533,0.5869
162,0.5315,0.5917
163,0.536,0.5881
164,0.5326,0.5894
165,0.5332,0.5879
166,0.5375,0.5992
167,0.5369,0.6018
168,0.535,0.5979
169,0.5416,0.592
170,0.538,0.5964
171,0.5392,0.5958
172,0.538,0.5915
173,0.54,0.6016
174,0.5454,0.5904
175,0.5431,0.6021
176,0.5404,0.5872
177,0.5452,0.6003
178,0.5416,0.6051
179,0.544,0.5973
180,0.5424,0.6013
181,0.5445,0.6
182,0.5462,0.6054
183,0.5454,0.607
184,0.5478,0.5914
185,0.549,0.5994
186,0.5483,0.5954
187,0.548,0.6023
188,0.5466,0.5896
189,0.5489,0.5951
190,0.5494,0.5872
191,0.548,0.6016
192,0.5469,0.5913
193,0.5516,0.6003
194,0.5495,0.5984
195,0.5518,0.5785
196,0.547,0.601
197,0.5512,0.5846
198,0.548,0.5884
199,0.5529,0.5963
200,0.5536,0.5872
201,0.5544,0.5967
202,0.5545,0.5913
203,0.5514,0.602
204,0.557,0.5976
205,0.5518,0.5964
206,0.5503,0.5974
207,0.5554,0.59
208,0.5552,0.5897
209,0.5539,0.5839
210,0.5546,0.5827
211,0.5569,0.5866
212,0.5587,0.6026
213,0.551,0.591
214,0.5504,0.5888
