week,day,year,month,day_month,day_week,activated_time,appliance
27,191,0,6,9,6,54,10
27,191,0,6,9,6,61,5
27,191,0,6,9,6,73,2
27,191,0,6,9,6,88,10
27,191,0,6,9,6,117,10
27,191,0,6,9,6,123,2
28,192,0,6,10,0,34,10
28,192,0,6,10,0,39,10
28,192,0,6,10,0,57,10
28,192,0,6,10,0,62,10
28,192,0,6,10,0,83,10
28,192,0,6,10,0,88,10
28,192,0,6,10,0,97,10
28,192,0,6,10,0,100,10
28,192,0,6,10,0,101,2
28,192,0,6,10,0,105,2
28,192,0,6,10,0,106,2
28,192,0,6,10,0,109,10
28,192,0,6,10,0,122,10
28,193,0,6,11,1,41,10
28,193,0,6,11,1,55,10
28,193,0,6,11,1,66,10
28,193,0,6,11,1,70,10
28,193,0,6,11,1,99,10
28,194,0,6,12,2,38,10
28,194,0,6,12,2,45,10
28,194,0,6,12,2,52,5
28,194,0,6,12,2,98,10
28,194,0,6,12,2,106,10
28,195,0,6,13,3,37,10
28,195,0,6,13,3,87,10
28,195,0,6,13,3,88,5
28,195,0,6,13,3,100,10
28,195,0,6,13,3,101,10
28,195,0,6,13,3,106,10
28,195,0,6,13,3,120,10
28,196,0,6,14,4,42,10
28,196,0,6,14,4,49,10
28,196,0,6,14,4,55,5
28,196,0,6,14,4,55,10
28,196,0,6,14,4,61,10
28,196,0,6,14,4,102,10
28,196,0,6,14,4,121,8
28,197,0,6,15,5,39,10
28,197,0,6,15,5,45,10
28,197,0,6,15,5,57,10
28,197,0,6,15,5,60,9
28,197,0,6,15,5,61,10
28,197,0,6,15,5,107,10
28,197,0,6,15,5,109,6
28,197,0,6,15,5,122,10
28,198,0,6,16,6,40,10
28,198,0,6,16,6,49,5
28,198,0,6,16,6,51,6
28,198,0,6,16,6,54,5
28,198,0,6,16,6,54,8
28,198,0,6,16,6,54,10
28,198,0,6,16,6,75,8
28,198,0,6,16,6,103,10
28,198,0,6,16,6,121,2
29,199,0,6,17,0,38,10
29,199,0,6,17,0,53,10
29,199,0,6,17,0,102,6
29,199,0,6,17,0,120,10
29,200,0,6,18,1,39,10
29,200,0,6,18,1,45,10
29,200,0,6,18,1,47,5
29,200,0,6,18,1,97,10
29,201,0,6,19,2,36,10
29,201,0,6,19,2,52,10
29,201,0,6,19,2,54,10
29,201,0,6,19,2,70,10
29,201,0,6,19,2,85,10
29,201,0,6,19,2,86,10
29,201,0,6,19,2,93,10
29,201,0,6,19,2,105,10
29,201,0,6,19,2,109,10
29,201,0,6,19,2,118,10
29,202,0,6,20,3,40,10
29,202,0,6,20,3,55,10
29,202,0,6,20,3,56,5
29,202,0,6,20,3,56,10
29,202,0,6,20,3,60,10
29,202,0,6,20,3,61,1
29,202,0,6,20,3,61,2
29,202,0,6,20,3,62,1
29,202,0,6,20,3,91,10
29,202,0,6,20,3,93,2
29,202,0,6,20,3,94,2
29,202,0,6,20,3,94,10
29,202,0,6,20,3,115,8
29,202,0,6,20,3,116,8
29,202,0,6,20,3,119,6
29,203,0,6,21,4,35,10
29,203,0,6,21,4,48,10
29,203,0,6,21,4,51,5
29,203,0,6,21,4,54,10
29,203,0,6,21,4,55,1
29,203,0,6,21,4,58,5
29,203,0,6,21,4,62,2
29,203,0,6,21,4,63,1
29,203,0,6,21,4,64,1
29,203,0,6,21,4,65,1
29,203,0,6,21,4,66,1
29,203,0,6,21,4,72,10
29,203,0,6,21,4,91,10
29,203,0,6,21,4,126,10
29,204,0,6,22,5,45,10
29,204,0,6,22,5,54,10
29,204,0,6,22,5,60,10
29,204,0,6,22,5,63,10
29,204,0,6,22,5,66,9
29,204,0,6,22,5,70,10
29,204,0,6,22,5,79,9
29,204,0,6,22,5,79,10
29,204,0,6,22,5,101,6
29,205,0,6,23,6,39,10
29,205,0,6,23,6,60,5
29,205,0,6,23,6,61,6
29,205,0,6,23,6,65,1
29,205,0,6,23,6,66,1
29,205,0,6,23,6,67,1
29,205,0,6,23,6,82,10
29,205,0,6,23,6,116,10
29,205,0,6,23,6,117,10
30,206,0,6,24,0,43,10
30,206,0,6,24,0,52,10
30,206,0,6,24,0,82,10
30,206,0,6,24,0,99,2
30,206,0,6,24,0,100,10
30,207,0,6,25,1,39,10
30,207,0,6,25,1,53,10
30,207,0,6,25,1,65,10
30,207,0,6,25,1,75,10
30,207,0,6,25,1,76,5
30,207,0,6,25,1,98,10
30,207,0,6,25,1,105,2
30,208,0,6,26,2,38,10
30,208,0,6,26,2,44,10
30,208,0,6,26,2,50,5
30,208,0,6,26,2,71,10
30,208,0,6,26,2,74,2
30,208,0,6,26,2,74,10
30,208,0,6,26,2,75,2
30,208,0,6,26,2,89,10
30,208,0,6,26,2,90,10
30,208,0,6,26,2,122,10
30,209,0,6,27,3,41,10
30,209,0,6,27,3,42,10
30,209,0,6,27,3,52,10
30,209,0,6,27,3,59,2
30,209,0,6,27,3,96,10
30,209,0,6,27,3,122,10
30,210,0,6,28,4,38,10
30,210,0,6,28,4,43,10
30,210,0,6,28,4,59,10
30,210,0,6,28,4,61,10
30,210,0,6,28,4,66,10
30,210,0,6,28,4,75,4
30,210,0,6,28,4,76,4
30,210,0,6,28,4,77,4
30,210,0,6,28,4,78,10
30,210,0,6,28,4,83,2
30,210,0,6,28,4,83,10
30,210,0,6,28,4,89,10
30,210,0,6,28,4,97,2
30,211,0,6,29,5,41,10
30,211,0,6,29,5,65,10
30,211,0,6,29,5,66,1
30,211,0,6,29,5,67,1
30,211,0,6,29,5,68,10
30,211,0,6,29,5,81,2
30,211,0,6,29,5,81,10
30,211,0,6,29,5,100,2
30,212,0,6,30,6,42,10
30,212,0,6,30,6,51,10
30,212,0,6,30,6,56,2
30,212,0,6,30,6,62,10
30,212,0,6,30,6,65,6
30,212,0,6,30,6,72,10
30,212,0,6,30,6,79,10
30,212,0,6,30,6,97,2
30,212,0,6,30,6,98,2
30,212,0,6,30,6,119,10
30,212,0,6,30,6,120,8
31,213,0,7,0,0,32,10
31,213,0,7,0,0,40,10
31,213,0,7,0,0,41,6
31,213,0,7,0,0,58,5
31,213,0,7,0,0,75,10
31,213,0,7,0,0,95,10
31,213,0,7,0,0,101,10
31,213,0,7,0,0,109,10
31,213,0,7,0,0,123,10
31,214,0,7,1,1,36,10
31,214,0,7,1,1,64,10
31,214,0,7,1,1,73,5
31,214,0,7,1,1,79,10
31,214,0,7,1,1,85,10
